"Theta [deg]","rETotal [mV] - Freq='8GHz' Phi='-90deg'","rETotal [mV] - Freq='8GHz' Phi='-80deg'","rETotal [mV] - Freq='8GHz' Phi='-70deg'","rETotal [mV] - Freq='8GHz' Phi='-60deg'","rETotal [mV] - Freq='8GHz' Phi='-50deg'","rETotal [mV] - Freq='8GHz' Phi='-40deg'","rETotal [mV] - Freq='8GHz' Phi='-30deg'","rETotal [mV] - Freq='8GHz' Phi='-20deg'","rETotal [mV] - Freq='8GHz' Phi='-10deg'","rETotal [mV] - Freq='8GHz' Phi='0deg'","rETotal [mV] - Freq='8GHz' Phi='10deg'","rETotal [mV] - Freq='8GHz' Phi='20deg'","rETotal [mV] - Freq='8GHz' Phi='30deg'","rETotal [mV] - Freq='8GHz' Phi='40deg'","rETotal [mV] - Freq='8GHz' Phi='50deg'","rETotal [mV] - Freq='8GHz' Phi='60deg'","rETotal [mV] - Freq='8GHz' Phi='70deg'","rETotal [mV] - Freq='8GHz' Phi='80deg'","rETotal [mV] - Freq='8GHz' Phi='90deg'"
0,227.234092585889,227.23414308583,227.234193070481,227.234216037725,227.234206816485,227.234181380333,227.234160362834,227.234153340711,227.234156216022,227.234159897181,227.234159860159,227.234158232319,227.234158446502,227.234159804992,227.234159022914,227.234157458161,227.234164643432,227.234191044023,227.234235121036
10,224.946354906387,225.081107959636,224.990440499754,224.628969596366,224.003190068619,223.169890003728,222.229417705855,221.314380237204,220.574695814167,220.160255968432,220.202679316302,220.797802408268,221.990765688481,223.765797826961,226.042803916272,228.682222853721,231.498192060064,234.278232065159,236.806206714683
20,225.680320825653,227.57686915726,228.453281746739,228.16644303532,226.724202059336,224.290852240921,221.176261673317,217.804282116057,214.664045410561,212.253345854463,211.023423450576,211.329096583788,213.38223982906,217.207607669823,222.610502931058,229.176449725972,236.318612388333,243.366722781175,249.669101936393
30,221.488142807347,225.706765014147,228.241451317419,228.749013776649,227.114814377919,223.524333287413,218.477737887775,212.735210470595,207.200728314629,202.774789970188,200.2254194546,200.117124132318,202.789466154247,208.324397500063,216.458201034582,226.500919115311,237.392304413804,247.925202343521,257.015477938994
40,208.331959866414,215.117419406022,219.990797335665,222.220843542467,221.408943947663,217.635556430163,211.503786706403,204.088466489774,196.763978911596,190.903182845984,187.553566063866,187.284389316211,190.307218268784,196.676051369291,206.199787110301,218.091044039764,230.878936402362,242.846429850663,252.613666959139
50,188.202374065154,197.613824261495,205.087557362867,209.476206472311,210.118999319179,206.960949875251,200.580048411082,192.212334566111,183.652776015114,176.821065981412,173.086662509426,172.850440920231,175.872384951072,182.045320248448,191.463509788904,203.511915617769,216.38840653643,227.888900101408,236.486156257061
60,165.694714510699,177.308390995658,186.891840459382,193.082874161912,195.143612818089,192.948340506057,186.934512851026,178.262319672287,168.955481044088,161.442303740695,157.463662724082,157.211519001306,159.821590309154,164.963709914564,173.217289691002,184.3443003473,196.236612201689,206.232080720706,212.792931878301
70,144.589960803268,157.505627053429,168.179000980116,175.311164714434,178.282638205578,176.986953308635,171.66958015634,163.230062240835,153.684093726711,145.775778689757,141.547167425623,141.036459684257,142.833117473041,146.447799680928,153.037306417669,162.794226477683,173.314497735894,181.579730418567,186.17551481207
80,126.764862576958,139.915681993928,150.556766046226,157.671802864589,160.8906515462,160.194060953237,155.644151498899,147.813927651481,138.534207379188,130.585479002674,126.097894731743,125.027999198124,125.692430979084,127.594921701222,132.416105450669,140.705098368022,149.826275990068,156.584664572845,159.788984621955
90,112.44100412761,124.913694225254,134.619201683441,140.946031976338,143.837497926125,143.393009639986,139.532052780714,132.535560326293,123.958553507156,116.341749777182,111.632541782064,109.759871202333,109.109789847613,109.341281605062,112.475525761193,119.281346076468,127.041148386109,132.596441663865,135.014708582099
100,100.724869890667,111.954608015566,120.225114159651,125.350027966902,127.582386524927,127.135517927071,123.849422830837,117.810199688253,110.263332905105,103.2888536642,98.4314681440499,95.6409028608415,93.6698429806018,92.4343774252375,94.0165281113199,99.2463350566581,105.54665525052,110.01003964148,111.950832383009
110,90.201072732936,100.011636885791,106.820134708586,110.764766415465,112.317994783642,111.773957115061,108.986107125924,103.977049397545,97.6751464517033,91.5609705083359,86.6750627380919,83.0378940258763,79.9451208490131,77.5810496515484,77.7614193627679,81.2027691367626,85.7188326307377,88.8676826481655,90.2022970929842
